52 48 40 45 47 40 1
62 62 62 62 62 51 1
101 33 28 53 36 47 1
72 36 58 58 58 58 1
40 16 14 19 16 33 1
14 28 27 32 48 33 1
48 22 35 55 55 46 1
47 69 40 54 67 57 1
39 39 39 47 39 39 1
46 37 38 45 48 48 1
13 52 49 49 15 45 1
46 39 30 33 45 52 1
37 26 14 43 80 30 1
35 40 50 36 38 38 1
32 31 28 15 12 50 1
60 60 49 60 60 49 1
27 67 49 41 43 40 1
27 31 54 66 34 62 1
35 24 37 28 34 28 1
36 35 41 45 40 89 1
33 64 41 73 26 50 1
36 37 41 39 47 64 1
30 66 50 54 42 49 1
49 36 104 60 68 20 1
32 32 26 32 26 32 1
119 119 97 97 97 119 1
39 32 37 57 40 46 1
52 37 36 41 60 34 1
31 22 24 53 13 28 1
39 41 34 40 53 37 1
53 25 28 61 50 30 1
34 23 20 23 20 103 0
47 32 35 33 60 38 1
42 45 39 49 24 37 1
29 29 38 32 33 46 1
51 42 28 44 30 41 1
37 81 84 65 80 80 1
15 24 33 42 86 33 1
13 30 31 18 14 43 0
26 56 105 51 31 43 1
19 37 33 38 30 56 1
44 33 24 25 24 17 0
39 53 45 83 39 59 1
30 37 37 30 37 30 1
36 16 19 14 37 25 1
32 51 43 18 33 48 1
17 16 38 53 76 37 1
70 34 46 29 43 51 1
32 43 32 53 51 63 1
44 37 46 43 43 43 1
33 21 21 22 22 27 1
90 125 118 118 96 118 1
26 44 30 23 24 29 0
42 62 34 44 21 41 1
19 29 29 50 14 14 0
13 26 33 35 8 40 1
33 43 42 34 42 42 1
39 47 39 37 52 33 1
19 26 25 24 34 26 0
48 29 52 16 31 38 1
47 38 30 46 40 46 1
83 83 83 83 68 68 1
52 30 20 41 39 39 1
28 48 59 53 41 66 1
19 35 20 26 16 24 0
24 29 51 26 20 153 1
21 37 47 67 15 41 1
27 34 45 43 72 43 1
45 30 31 43 35 43 1
22 61 17 30 30 37 0
52 43 52 43 43 43 1
24 20 23 24 25 25 0
35 28 31 60 42 44 1
47 39 30 44 44 36 1
49 27 53 40 40 40 1
42 42 42 42 52 42 1
28 47 27 26 34 34 1
72 80 53 40 15 40 1
16 33 21 26 21 26 0
63 29 30 35 43 43 1
36 35 20 37 30 30 0
29 47 54 41 62 43 1
47 69 95 54 58 79 1
42 33 23 50 42 31 1
71 45 38 50 110 21 1
20 40 20 29 33 27 0
31 51 71 81 51 51 1
26 30 52 99 55 45 1
25 22 18 26 24 28 0
59 44 85 43 51 34 1
25 31 25 25 31 31 1
22 28 36 23 24 28 0
18 29 33 20 25 24 0
29 45 37 45 37 45 0
29 26 29 26 0 23 0
46 49 64 41 70 58 1
22 28 28 28 23 28 1
50 59 61 50 50 61 1
36 42 37 19 23 30 1
26 44 40 28 18 31 0
97 118 97 97 118 97 1
29 26 45 36 31 38 1
38 26 57 49 49 49 0
70 23 40 40 49 49 1
28 37 36 29 36 36 1
133 23 43 16 51 55 0
37 36 30 28 22 21 0
45 32 24 42 88 55 1
59 34 19 40 40 40 1
39 28 24 24 37 34 0
34 65 51 50 61 61 1
40 70 66 63 63 52 1
18 31 25 22 26 26 0
27 44 29 46 73 42 1
38 27 40 41 39 46 1
37 38 47 33 45 36 1
48 29 32 34 33 30 1
23 18 22 29 50 32 0
103 46 53 19 48 59 0
50 40 69 59 44 36 1
21 74 55 55 29 11 1
33 32 63 50 50 41 1
49 52 44 48 46 46 1
33 23 27 44 29 27 0
39 25 17 67 48 44 1
100 14 26 29 32 42 1
35 24 30 24 24 33 0
31 52 82 35 51 17 1
52 19 27 36 54 32 1
47 34 54 46 67 44 1
30 56 47 46 24 39 1
38 37 33 46 72 26 1
24 27 66 35 41 41 1
40 36 38 38 38 38 1
34 36 57 41 30 33 0
48 30 49 50 50 52 1
31 51 56 35 19 29 1
46 22 66 38 46 38 1
35 62 33 33 18 51 1
30 84 54 66 54 54 1
26 24 17 34 19 31 0
9 44 62 28 10 43 1
59 37 44 40 35 40 1
17 31 68 28 22 39 0
45 29 24 36 32 32 1
50 62 27 75 33 29 1
16 28 58 0 22 30 1
30 30 25 22 86 21 0
17 31 29 25 41 27 0
44 36 30 37 30 30 1
54 16 18 18 15 25 0
51 20 40 48 79 44 1
66 41 35 42 50 46 1
37 34 62 67 53 51 1
23 35 53 34 30 26 0
49 12 16 42 56 56 1
42 19 29 30 30 30 1
21 26 26 22 26 22 0
16 15 35 17 14 21 0
10 37 34 47 19 30 1
43 67 48 45 46 63 1
64 28 34 44 15 39 0
27 24 30 23 22 31 0
28 22 26 15 36 29 0
44 34 55 48 39 48 1
20 21 17 16 34 24 0
32 33 31 17 14 32 1
29 44 32 70 40 27 1
34 20 41 31 26 33 0
49 21 54 46 75 37 1
50 78 59 34 45 53 1
51 67 30 27 38 32 1
36 23 63 56 49 40 1
23 23 27 16 36 33 0
21 21 17 21 17 17 1
39 25 38 27 30 30 1
12 10 10 12 10 10 1
40 31 46 58 48 47 1
28 37 32 39 44 29 0
29 52 35 26 40 54 1
47 45 33 32 42 22 1
26 25 14 15 23 26 0
47 26 70 35 48 32 1
32 50 23 21 25 34 0
42 63 94 33 39 39 1
19 0 16 16 18 42 0
28 28 34 28 34 34 0
57 49 65 53 53 53 1
50 55 38 45 40 55 1
34 25 39 47 40 33 1
18 26 41 24 33 27 0
47 34 54 45 45 37 1
44 39 46 66 32 42 1
29 48 30 72 39 48 1
72 17 36 49 46 41 1
17 24 26 17 24 27 0
31 28 21 15 30 26 0
44 35 59 37 81 72 1
57 25 43 50 29 52 1
39 48 48 39 48 48 1
67 37 71 39 37 27 1
41 13 22 32 24 29 0
26 29 22 23 56 28 0
39 66 44 39 27 45 1
79 36 44 25 46 46 1
14 62 35 29 34 38 1
66 39 40 48 48 48 1
113 26 128 73 89 73 1
26 30 37 27 32 32 0
25 20 20 20 25 20 0
42 45 38 55 53 49 1
22 26 20 27 27 88 0
37 44 52 31 28 35 1
43 40 26 54 32 32 1
27 72 37 46 63 65 1
39 32 79 31 31 47 1
53 17 37 21 51 32 1
26 68 15 35 60 38 1
31 31 33 41 25 33 0
24 53 42 49 40 47 1
31 27 31 28 30 35 0
17 16 25 24 22 33 0
35 57 33 28 37 45 1
35 31 45 34 34 34 1
23 26 32 27 37 16 0
33 21 30 23 29 29 0
22 32 26 22 27 26 0
23 40 26 23 17 31 0
24 21 42 25 29 33 0
21 10 15 32 21 21 0
41 49 33 45 45 45 1
20 31 58 24 59 27 0
27 33 47 52 43 28 1
36 34 54 44 53 44 1
64 34 22 52 38 47 1
37 32 56 77 59 44 1
12 31 33 37 30 24 0
34 28 28 20 20 24 0
111 111 91 111 111 111 0
48 49 85 29 74 43 1
72 19 55 45 55 55 0
55 45 55 45 55 45 0
21 18 29 22 16 23 0
28 49 45 29 33 30 1
27 24 29 20 22 22 0
45 55 12 52 31 43 1
35 11 31 19 23 33 0
26 16 34 56 22 38 0
33 46 26 57 39 47 0
26 22 27 27 31 24 0
27 29 19 40 26 19 0
40 40 40 40 40 33 1
25 18 25 33 31 23 0
87 78 67 67 67 82 1
33 12 46 40 48 38 1
13 22 31 23 45 25 0
45 58 55 53 35 46 1
35 39 44 31 41 34 1
52 54 49 38 26 38 1
48 21 49 38 44 38 0
70 55 50 44 44 52 1
68 63 52 57 32 56 1
34 33 55 37 47 44 1
29 24 28 35 43 60 0
31 25 31 25 25 31 0
14 32 31 20 10 27 0
27 21 26 42 27 22 0
27 34 28 21 36 50 0
31 25 27 29 41 22 0
99 22 18 20 21 36 0
53 64 64 53 64 64 0
24 43 32 26 54 46 1
23 18 29 22 31 27 0
50 39 73 95 15 57 1
30 49 55 29 50 50 1
22 33 24 25 21 27 0
49 12 33 34 48 32 1
27 20 35 20 38 29 0
46 38 59 36 40 32 1
22 21 36 14 49 24 0
39 43 129 114 88 72 1
28 34 25 33 21 31 0
15 91 35 33 50 53 0
23 68 43 23 52 24 0
31 45 33 47 39 30 1
33 20 27 19 24 18 0
43 41 22 22 39 58 1
27 17 32 25 25 23 0
